Name,Party,State,District Number,Incumbent Status,Winner Status,Percentage of Vote,Total Amount Raised,Total Amount Spent
Rick Crawford ,(R),Arkansas,District 01,Incumbent,Winner,100.0,966801,1095518
French Hill ,(R),Arkansas,District 02,Incumbent,Winner,55.4,3384490,3020491
Joyce Elliott ,(D),Arkansas,District 02,N/a,N/a,44.6,3482463,3478733
Steve Womack ,(R),Arkansas,District 03,Incumbent,Winner,64.3,1127158,923120
Celeste Williams (D) ,(D),Arkansas,District 03,N/a,N/a,31.8,355294,355294
Bruce Westerman ,(R),Arkansas,District 04,Incumbent,Winner,69.7,1407770,1102573
William Hanson ,(D),Arkansas,District 04,N/a,N/a,27.5,109767,111683
Doug LaMalfa ,(R),California,District 01,Incumbent,Winner,56.9,1219556,1155945
Audrey Denney ,(D),California,District 01,N/a,N/a,43.1,2461769,2457661
Jared Huffman ,(D),California,District 02,Incumbent,Winner,75.7,899419,797753
Dale Mensing ,(R),California,District 02,N/a,N/a,24.3,5921,2197
John Garamendi ,(D),California,District 03,Incumbent,Winner,54.7,1054066,667320
Tamika Hamilton ,(R),California,District 03,N/a,N/a,45.3,397099,384584
Tom McClintock ,(R),California,District 04,Incumbent,Winner,55.9,2053363,2107248
Brynne Kennedy ,(D),California,District 04,N/a,N/a,44.1,3006020,3002532
Mike Thompson ,(D),California,District 05,Incumbent,Winner,76.8,2208136,2022751
Doris Matsui ,(D),California,District 06,Incumbent,Winner,73.4,1019605,1073529
Christine Bish ,(R),California,District 06,N/a,N/a,26.6,44772,44554
Ami Bera ,(D),California,District 07,Incumbent,Winner,56.6,1757748,1053444
Buzz Patterson ,(R),California,District 07,N/a,N/a,43.4,43876,29614
Jay Obernolte ,(R),California,District 08,N/a,Winner,56.1,1861647,1792064
Chris Bubser ,(D),California,District 08,N/a,N/a,43.9,1858001,1856613
Jerry McNerney ,(D),California,District 09,Incumbent,Winner,57.6,1177959,1112543
Tony Amador ,(R),California,District 09,N/a,N/a,42.4,52175,52175
Josh Harder ,(D),California,District 10,Incumbent,Winner,55.2,7400135,3950613
